mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07484912872314453,0.022995509219300096,0.00609898567199707,0.0008287000288329698,0.001,"(8,)",0.01,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.01}",0.9302325581395349,0.8588235294117647,0.9176470588235294,0.9294117647058824,0.8941176470588236,0.9060465116279071,0.026973247679105892,10
0.0673140048980713,0.02789096554773362,0.007985115051269531,0.007436579667181192,0.001,"(8,)",0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.04297647476196289,0.0032434371477303298,0.004213285446166992,0.00031243622350710397,0.001,"(8,)",0.0001,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.0001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.05307188034057617,0.008708618167670561,0.00391092300415039,0.0005217390985287453,0.001,"(16,)",0.01,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.01}",0.9534883720930233,0.9176470588235294,0.9176470588235294,0.9411764705882353,0.8823529411764706,0.9224623803009575,0.024363789076022647,7
0.07277517318725586,0.002754554562050344,0.004519414901733398,0.0012155413028462406,0.001,"(16,)",0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.001}",0.8953488372093024,0.8705882352941177,0.8470588235294118,0.9176470588235294,0.8470588235294118,0.8755403556771546,0.027612566826429864,16
0.15650949478149415,0.02689226086294714,0.00378875732421875,0.000565333827288044,0.001,"(16,)",0.0001,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.0001}",0.7325581395348837,0.7058823529411765,0.6588235294117647,0.6588235294117647,0.6235294117647059,0.675923392612859,0.03856157085748557,22
0.0629582405090332,0.02692147099035688,0.003351449966430664,0.0004393642109172785,0.001,"(16, 8)",0.01,"{'alpha': 0.001, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.01}",0.9534883720930233,0.9529411764705882,0.8941176470588236,0.8823529411764706,0.9294117647058824,0.9224623803009576,0.029502725757757694,5
0.07821092605590821,0.014581475146966793,0.0036341667175292967,0.0009835457505882718,0.001,"(16, 8)",0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.001}",0.9534883720930233,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8705882352941177,0.8918741450068399,0.031253158332504506,13
0.17647724151611327,0.0776012481576572,0.0036676883697509765,0.000694190609053973,0.001,"(16, 8)",0.0001,"{'alpha': 0.001, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.0001}",0.7558139534883721,0.8352941176470589,0.5882352941176471,0.8705882352941177,0.7411764705882353,0.7582216142270862,0.09773240106504501,19
0.06328868865966797,0.014907705113700494,0.005455493927001953,0.0013027256875409983,0.001,"(32, 16)",0.01,"{'alpha': 0.001, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.01}",0.9651162790697675,0.9529411764705882,0.9176470588235294,0.9294117647058824,0.9176470588235294,0.9365526675786594,0.01923694208422079,2
0.04732413291931152,0.00773610000354263,0.004981708526611328,0.0007913286750834196,0.001,"(32, 16)",0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.001}",0.627906976744186,0.6352941176470588,0.6235294117647059,0.6235294117647059,0.6235294117647059,0.6267578659370725,0.004592533025085026,25
0.05039305686950683,0.0029299520589478934,0.003976345062255859,0.00045858280088317295,0.001,"(32, 16)",0.0001,"{'alpha': 0.001, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.0001}",0.5581395348837209,0.6352941176470588,0.611764705882353,0.6235294117647059,0.6235294117647059,0.610451436388509,0.027193695621613608,28
0.05378446578979492,0.005502631041135787,0.003710317611694336,0.00023551345906651721,0.01,"(8,)",0.01,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.01}",0.9302325581395349,0.8588235294117647,0.9176470588235294,0.9294117647058824,0.8941176470588236,0.9060465116279071,0.026973247679105892,10
0.03517279624938965,0.003340019735184599,0.003992509841918945,0.0010640205656823637,0.01,"(8,)",0.001,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.034251070022583006,0.001363262671450407,0.004119014739990235,0.0011440103014562426,0.01,"(8,)",0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.0001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.04808340072631836,0.006715356953085975,0.0036154270172119142,0.0008125973867606375,0.01,"(16,)",0.01,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.01}",0.9534883720930233,0.9176470588235294,0.9176470588235294,0.9411764705882353,0.8823529411764706,0.9224623803009575,0.024363789076022647,7
0.07233753204345703,0.005067697652810303,0.004049158096313477,0.0006475859349501031,0.01,"(16,)",0.001,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.001}",0.8953488372093024,0.8705882352941177,0.8470588235294118,0.9176470588235294,0.8470588235294118,0.8755403556771546,0.027612566826429864,16
